Judul;Tanggal;Jam Upload (WIB);;;;;;;;;;;;;;;;;;;;;;;
IRAN GANDENG PRABOWO SIAPKAN RUDAL...;2025-12-28;18.30;;;;;;;;;;;;;;;;;;;;;;;
BATAM MELEJIT RESMI GESER DOMINASI...;2025-12-28;20.15;;;;;;;;;;;;;;;;;;;;;;;
JEPANG DIBIKIN PANIK! MENHAN SJAFRIE...;2025-12-29;07.15;;;;;;;;;;;;;;;;;;;;;;;
USTADZ MALAYSIA SERUKAN ACEH PISAH...;2025-12-29;10.15;;;;;;;;;;;;;;;;;;;;;;;
JANGAN TERGODA PROVOKASI! NASIB TIMOR...;2025-12-29;13.15;;;;;;;;;;;;;;;;;;;;;;;
SABAH DAN SARAWAK BOSAN MISKIN!...;2025-12-29;16.15;;;;;;;;;;;;;;;;;;;;;;;
BATAM MELEJIT RESMI GESER... (Shorts);2025-12-29;17.01;;;;;;;;;;;;;;;;;;;;;;;
KEKUATAN TEMPUR INDONESIA NO 1 DI ASEAN...;2025-12-29;19.30;;;;;;;;;;;;;;;;;;;;;;;
MELAYU SUMATERA & KALIMANTAN BERSATU!...;2025-12-30;08.15;;;;;;;;;;;;;;;;;;;;;;;
ACEH MENGHINA SUKU JAWA! SULTAN ACEH...;2025-12-30;11.15;;;;;;;;;;;;;;;;;;;;;;;
TAKTIK GERTAK SAMBAL MALAYSIA GAGAL!...;2025-12-30;13.15;;;;;;;;;;;;;;;;;;;;;;;
PUTIN KERAHKAN PEMBOM NUKLIR KE SELATAN...;2025-12-30;16.15;;;;;;;;;;;;;;;;;;;;;;;
SINGAPURA KETAR-KETIR! INILAH TEROBOSAN...;2025-12-30;19.15;;;;;;;;;;;;;;;;;;;;;;;
GILA TAK ADA TOKO MALAYSIA WARGA...;2025-12-30;20.45;;;;;;;;;;;;;;;;;;;;;;;
BI4D4B! KELOMPOK ASNLF DEMO DI GEDUNG...;2025-12-31;07.30;;;;;;;;;;;;;;;;;;;;;;;
KEJAM! BANTUAN BANJIR ACEH DARI RAKYAT...;2025-12-31;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DIKUCILKAN! THAILAND DAN...;2025-12-31;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KENA MENTAL! WARGA PERBATASAN...;2025-12-31;16.15;;;;;;;;;;;;;;;;;;;;;;;
GILA TAK ADA TOKO MALAYSIA... (Shorts);2025-12-31;17.00;;;;;;;;;;;;;;;;;;;;;;;
JANGAN MAIN API! KAPAL PERANG TNI AL...;2025-12-31;18.30;;;;;;;;;;;;;;;;;;;;;;;
WASPADA! MEDIA MALAYSIA BONGKAR KECANGGIHAN KRI...;2026-01-01;10.30;;;;;;;;;;;;;;;;;;;;;;;
MANTAN SNIPER MALAYSIA AKUI: TAK TAKUT PERANG...;2026-01-01;14.15;;;;;;;;;;;;;;;;;;;;;;;
TIMOR LESTE MENANGIS LIHAT PAPUA! DULU PILIH...;2026-01-01;16.15;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA TAKUT ANCAMAN PERANG INDONESIA...;2026-01-02;07.15;;;;;;;;;;;;;;;;;;;;;;;
NGAKAK! AKSI-AKSI TENTARA MALAYSIA BUAT KETAWA...;2026-01-02;13.15;;;;;;;;;;;;;;;;;;;;;;;
MAU AJAK PERANG? ATUK MALAYSIA HALU...;2026-01-02;16.15;;;;;;;;;;;;;;;;;;;;;;;
DIPUJA RAKYAT KAMBOJA! INDONESIA JADI...;2026-01-02;19.15;;;;;;;;;;;;;;;;;;;;;;;
PANTAS NGOTOT INGIN MERDEKA? LIHAT PERBANDINGAN...;2026-01-03;07.30;;;;;;;;;;;;;;;;;;;;;;;
TERBONGKAR! PERJANJIAN TERBURUK MALAYSIA...;2026-01-03;10.15;;;;;;;;;;;;;;;;;;;;;;;
CHINA OBOK-OBOK LAUT MALAYSIA DI TAHUN BARU...;2026-01-03;16.30;;;;;;;;;;;;;;;;;;;;;;;
TIMOR LESTE MENANGIS... (Shorts);2026-01-03;17.00;;;;;;;;;;;;;;;;;;;;;;;
DPR MALAYSIA PANIK! AKUI KAPAL SELAM RI...;2026-01-03;19.15;;;;;;;;;;;;;;;;;;;;;;;
MONSTER LAUT BARU! KRI BALAPUTRA DEWA...;2026-01-03;20.15;;;;;;;;;;;;;;;;;;;;;;;
TNI KEPUNG AMBALAT, DPR MALAYSIA MASIH NEKAT...;2026-01-04;07.15;;;;;;;;;;;;;;;;;;;;;;;
RAKYAT ACEH ASLI BUNGKAM & PERMALUKAN MALAYSIA...;2026-01-04;10.15;;;;;;;;;;;;;;;;;;;;;;;
AKIBAT REMEHIN PETANI! PASOKAN KELAPA MALAYSIA...;2026-01-04;13.15;;;;;;;;;;;;;;;;;;;;;;;
NGACA DULU! MEDIA MALAYSIA SEBUT PRABOWO ZIONIS...;2026-01-04;16.15;;;;;;;;;;;;;;;;;;;;;;;
MONSTER LAUT BARU... (Shorts);2026-01-04;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA SYOK BERAT! INDONESIA NEKAT BANTU IRAN...;2026-01-04;19.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO NGAMUK! INDONESIA SKAKMAT 9 NEGARA...;2026-01-05;07.15;;;;;;;;;;;;;;;;;;;;;;;
KENA KARMA! DULU REMEHKAN & HINA TKI...;2026-01-05;10.15;;;;;;;;;;;;;;;;;;;;;;;
WARGA MALAYSIA NGAMUK! KELAKUAN WARGA BANGLADESH...;2026-01-05;13.15;;;;;;;;;;;;;;;;;;;;;;;
BEDA KELAS! TENTARA WANITA MALAYSIA DIHUJAT...;2026-01-05;16.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERKEJUT! RUSIA SERIUS DUKUNG PRABOWO...;2026-01-05;18.15;;;;;;;;;;;;;;;;;;;;;;;
BENDERA MALAYSIA DIBAKAR DI ACEH...;2026-01-06;08.15;;;;;;;;;;;;;;;;;;;;;;;
MEDIA ASING BONGKAR DATA MILITER RI VS MALAYSIA...;2026-01-06;13.15;;;;;;;;;;;;;;;;;;;;;;;
TNI KEPUNG TOTAL BLOK AMBALAT DENGAN KAPAL...;2026-01-06;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERKEJUT! RUSIA... (Shorts);2026-01-06;17.00;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! 6 NEGARA MAJU REBUTAN IMPOR BUS...;2026-01-06;19.00;;;;;;;;;;;;;;;;;;;;;;;
JOHOR INGIN MANDIRI, SABAH & SARAWAK MUAK...;2026-01-06;20.30;;;;;;;;;;;;;;;;;;;;;;;
DIHINA HAMA‼️ JATI DIRI SUKU JAWA DI SURINAME...;2026-01-07;07.15;;;;;;;;;;;;;;;;;;;;;;;
JANGAN MAIN-MAIN! TNI KERAHKAN SELURUH ARMADA...;2026-01-07;09.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERDIAM! SULTAN BOLKIAH BRUNEI BORONG...;2026-01-07;13.15;;;;;;;;;;;;;;;;;;;;;;;
JOHOR INGIN MANDIRI... (Shorts);2026-01-07;17.01;;;;;;;;;;;;;;;;;;;;;;;
ALARM BAHAYA BAGI KAPAL ASING! RUDAL CM-302...;2026-01-07;18.15;;;;;;;;;;;;;;;;;;;;;;;
INDIA KAGUM! INDONESIA BORONG RUDAL MAUT...;2026-01-07;20.15;;;;;;;;;;;;;;;;;;;;;;;
ALARM BAHAYA BAGI JIRAN! 42 UNIT RAFALE F4...;2026-01-08;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GAGAL TOTAL! INDONESIA AMBIL ALIH...;2026-01-08;10.15;;;;;;;;;;;;;;;;;;;;;;;
RUDAL KHAN TNI RESMI SIAGA DI KALTIM...;2026-01-08;13.15;;;;;;;;;;;;;;;;;;;;;;;
PT PINDAD SIAP TAKLUKKAN AMERIKA LATIN...;2026-01-08;16.15;;;;;;;;;;;;;;;;;;;;;;;
INDIA KAGUM! INDONESIA BORONG... (Shorts);2026-01-08;17.00;;;;;;;;;;;;;;;;;;;;;;;
MEMALUKAN! TENTARA MALAYSIA BUKANNYA BERLATIH...;2026-01-08;19.15;;;;;;;;;;;;;;;;;;;;;;;
TIMOR LESTE KENA TIPU AUSTRALIA! KINI MENYESAL...;2026-01-09;07.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HEBOH! PRABOWO TAK GENTAR! INDONESIA...;2026-01-09;13.15;;;;;;;;;;;;;;;;;;;;;;;
KONTRAS BANGET! 2026 MILITER MALAYSIA BIKIN...;2026-01-09;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA DIJAJAH! WARGA BANGLADESH BERJAYA...;2026-01-09;19.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KAGET! CN235 BUATAN INDONESIA...;2026-01-09;20.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA-VIETNAM SYOK! SRILANGKA & AFRIKA...;2026-01-10;07.30;;;;;;;;;;;;;;;;;;;;;;;
BEDA KELAS BRO! YEL-YEL ASKAR MALAYSIA VS TNI...;2026-01-10;10.30;;;;;;;;;;;;;;;;;;;;;;;
MERINDING! JEPANG MINTA KIRIM RATUSAN RIBU TKI...;2026-01-10;13.15;;;;;;;;;;;;;;;;;;;;;;;
FILIPINA PAMER KERETA API BUATAN RI...;2026-01-11;08.15;;;;;;;;;;;;;;;;;;;;;;;
EROPA MENYESAL! SAWIT INDONESIA JADI...;2026-01-11;13.15;;;;;;;;;;;;;;;;;;;;;;;
KERETA BUATAN MADIUN JADI REBUTAN...;2026-01-11;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GEMETAR! KAPAL SELAM OTONOM...;2026-01-11;18.30;;;;;;;;;;;;;;;;;;;;;;;
FILIPINA BANGGA PAMERKAN PESAWAT NC212i...;2026-01-11;20.15;;;;;;;;;;;;;;;;;;;;;;;
DULU SOMBONG MAU JADI DUBAI ASIA...;2026-01-12;07.30;;;;;;;;;;;;;;;;;;;;;;;
SKAKMAT PROVOKATOR ASING! JAWA DISERANG...;2026-01-12;10.15;;;;;;;;;;;;;;;;;;;;;;;
AMERIKA INGINKAN LAPINDO! INDONESIA...;2026-01-12;16.15;;;;;;;;;;;;;;;;;;;;;;;
FILIPINA BANGGA PAMERKAN... (Shorts);2026-01-12;17.01;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA & ASEAN GEMPAR! 2027 INDONESIA...;2026-01-12;18.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA SYOK! BANGLA JATUH CINTA...;2026-01-13;07.30;;;;;;;;;;;;;;;;;;;;;;;
ORANG INDIA SYOK LIAT KAROSERI...;2026-01-13;10.30;;;;;;;;;;;;;;;;;;;;;;;
THAILAND KEPINCUT KERETA CEPAT RI!...;2026-01-13;13.15;;;;;;;;;;;;;;;;;;;;;;;
MEDIA MALAYSIA PANIK! INDONESIA RESMI...;2026-01-13;16.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! MALAYSIA DESAK INDONESIA...;2026-01-13;18.19;;;;;;;;;;;;;;;;;;;;;;;
JIRAN TERPAKSA BELI SENJATA BUATAN...;2026-01-13;20.15;;;;;;;;;;;;;;;;;;;;;;;
SINGAPURA MENJERIT! RIBUAN TAIPAN...;2026-01-14;08.15;;;;;;;;;;;;;;;;;;;;;;;
BERAS PAPUA SIAP KUASAI PASAR...;2026-01-14;11.30;;;;;;;;;;;;;;;;;;;;;;;
AUSTRALIA PANIK! BERANI USIK PAPUA...;2026-01-14;15.15;;;;;;;;;;;;;;;;;;;;;;;
JIRAN TERPAKSA BELI SENJATA... (Shorts);2026-01-14;17.01;;;;;;;;;;;;;;;;;;;;;;;
AUSTRALIA TERBUNGKAM! TNI AU KERAHKAN...;2026-01-14;19.15;;;;;;;;;;;;;;;;;;;;;;;
JANGAN MAIN-MAIN! RAFALE RI TIBA...;2026-01-15;07.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO NGAMUK! 4 WNI DICULIK...;2026-01-15;10.15;;;;;;;;;;;;;;;;;;;;;;;
RI PUNYA SENJATA BARU! LAPINDO JADI...;2026-01-15;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERPERANGAH! BOMBER NUKLIR...;2026-01-15;18.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERPERANGAH! PASUKAN GARUDA...;2026-01-15;20.30;;;;;;;;;;;;;;;;;;;;;;;
PAKISTAN GABUNG INDONESIA! RI BORONG...;2026-01-16;07.30;;;;;;;;;;;;;;;;;;;;;;;
GEGERKAN ASEAN! STRATEGI CERDAS RI...;2026-01-16;10.15;;;;;;;;;;;;;;;;;;;;;;;
AMERIKA MAIN ANCAM! PAKSA RI BELI...;2026-01-16;13.15;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA GABUNGKAN RUDAL ATMACA...;2026-01-16;18.15;;;;;;;;;;;;;;;;;;;;;;;
BEDA KELAS! INDONESIA USIR PAKSA CHINA...;2026-01-16;20.15;;;;;;;;;;;;;;;;;;;;;;;
EROPA KAGUM! INDONESIA UBAH LAUT...;2026-01-17;09.15;;;;;;;;;;;;;;;;;;;;;;;
FILIPINA BIDIK KF-21 BORAMAE...;2026-01-17;11.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA GAGAL UNTUNG BESAR!...;2026-01-17;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA TERPERANGAH! PASUKAN... (Shorts);2026-01-17;17.00;;;;;;;;;;;;;;;;;;;;;;;
WARGA MALAYSIA NGAMUK! OGAH BERNASIB...;2026-01-17;19.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA MEMANAS! SABAH ANCAM LEPAS...;2026-01-18;09.15;;;;;;;;;;;;;;;;;;;;;;;
KOMIKA DUNIA SINDIR SLOGAN JIRAN...;2026-01-18;11.30;;;;;;;;;;;;;;;;;;;;;;;
"HEBOH! INDONESIA BANGUN PASAR GRATIS""...""";2026-01-18;15.15;;;;;;;;;;;;;;;;;;;;;;;
WARGA MALAYSIA NGAMUK! OGAH... (Shorts);2026-01-18;17.01;;;;;;;;;;;;;;;;;;;;;;;
BEDA KELAS! PRAJURIT KODAERAL VII...;2026-01-18;19.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KELABAKAN! INDONESIA STOP...;2026-01-19;09.15;;;;;;;;;;;;;;;;;;;;;;;
GEGERKAN ASEAN! RAFALE RI BISA...;2026-01-19;11.30;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA RESMI JADI PRESIDEN HAM...;2026-01-19;12.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA SYOK! AUSTRALIA AKUI...;2026-01-19;16.15;;;;;;;;;;;;;;;;;;;;;;;
JALUR TIKUS DIBONGKAR! INTELIJEN TNI...;2026-01-19;21.00;;;;;;;;;;;;;;;;;;;;;;;
SIBUK CAMPUR TANGAN ACEH & PAPUA...;2026-01-20;07.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO TEMUI RAJA CHARLES III...;2026-01-20;12.30;;;;;;;;;;;;;;;;;;;;;;;
FIJI PAMERKAN BUS CANGGIH BUATAN...;2026-01-20;16.15;;;;;;;;;;;;;;;;;;;;;;;
GEGERKAN ASEAN! RAFALE RI... (Shorts);2026-01-20;17.01;;;;;;;;;;;;;;;;;;;;;;;
MENCEKAM! PRABOWO NGAMUK 9 ABK DICULIK...;2026-01-21;07.15;;;;;;;;;;;;;;;;;;;;;;;
PENGARUH BHS INDONESIA JADI ANCAMAN!...;2026-01-21;13.15;;;;;;;;;;;;;;;;;;;;;;;
ARAB SAUDI PAMERKAN BUS SR3 BUATAN RI...;2026-01-21;16.15;;;;;;;;;;;;;;;;;;;;;;;
DRONE SCANEAGLE TNI BISA LIHAT DALAM GELAP...;2026-01-21;18.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! TNI AL KEPUNG AMBALAT...;2026-01-22;08.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA & TRUMP MURKA! PRABOWO DIAM-DIAM...;2026-01-22;13.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! JET TEMPUR RAFALE TNI AU TIBA...;2026-01-22;16.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! ADA UPAYA GANGGU RI... (Shorts);2026-01-22;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA BAWA INDONESIA RAJA MALAYSIA...;2026-01-22;19.15;;;;;;;;;;;;;;;;;;;;;;;
RIBUAN WARGA SINGAPURA SERBU BATAM!...;2026-01-23;07.15;;;;;;;;;;;;;;;;;;;;;;;
KARMA! MALAYSIA MENANGIS KEHILANGAN TKI...;2026-01-23;10.15;;;;;;;;;;;;;;;;;;;;;;;
TNI AL & BAKAMLA SKAKMAT KAPAL CINA...;2026-01-23;13.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO & TRUMP BERSATU DI DAVOS...;2026-01-23;16.15;;;;;;;;;;;;;;;;;;;;;;;
MENCEKAM! PENYELUNDUP MALAYSIA DISIKAT...;2026-01-23;19.15;;;;;;;;;;;;;;;;;;;;;;;
NGERI! PRABOWO BAWA PULANG RP90 TRILIUN...;2026-01-24;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HEBOH NEGARANYA TAK DIUNDANG...;2026-01-24;13.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA HEBOH! BANGLADESH PILIH KERETA...;2026-01-24;15.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA BAWA INDONESIA RAJA... (Shorts);2026-01-24;17.00;;;;;;;;;;;;;;;;;;;;;;;
MAKIN BARBAR! MALAYSIA CAPLOK TIGA DESA...;2026-01-24;18.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! SBY & PRABOWO PERINGATKAN...;2026-01-24;20.15;;;;;;;;;;;;;;;;;;;;;;;
RINGGIT MALAYSIA DITOLAK DUNIA!...;2026-01-25;07.15;;;;;;;;;;;;;;;;;;;;;;;
TERUNGKAP! PILIH INDONESIA ATAU TIMOR LESTE?...;2026-01-25;10.15;;;;;;;;;;;;;;;;;;;;;;;
WARGA MALAYSIA SYOK LIHAT JAKARTA...;2026-01-25;13.15;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA GANDENG QATAR TEKEN RP38 T...;2026-01-25;18.30;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KETERGANTUNGAN PEKERJA ASING‼️...;2026-01-26;16.15;;;;;;;;;;;;;;;;;;;;;;;
GEMPAR! SBY & PRABOWO PERINGATKAN... (Shorts);2026-01-26;18.00;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA TAK BUTUH IMPOR LAGI!...;2026-01-26;18.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA WAS WAS! INDONESIA BANGUN 4 FREGAT...;2026-01-26;20.30;;;;;;;;;;;;;;;;;;;;;;;
PRIA BANGLA JADI PRIMADONA WANITA MELAYU...;2026-01-27;07.15;;;;;;;;;;;;;;;;;;;;;;;
INDONESIA JADI PENYELAMAT AFRIKA...;2026-01-27;13.15;;;;;;;;;;;;;;;;;;;;;;;
SOK HINA & RENDAHKAN INDONESIA...;2026-01-27;16.15;;;;;;;;;;;;;;;;;;;;;;;
GEGER! WARGA PERBATASAN MALAYSIA...;2026-01-27;18.30;;;;;;;;;;;;;;;;;;;;;;;
PARAH‼️ MALAYSIA BERANI PERMAINKAN RI...;2026-01-27;23.34;;;;;;;;;;;;;;;;;;;;;;;
GEGER! PO BUS INDIA BANGGA PAMERKAN BUS...;2026-01-28;07.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA & NATO BUNGKAM! DULU HINA TANK...;2026-01-28;10.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA WAS WAS! BANGUN 4 FREGAT... (Shorts);2026-01-28;17.00;;;;;;;;;;;;;;;;;;;;;;;
JIRAN INGINKAN INDONESIA BANGKRUT!...;2026-01-28;18.15;;;;;;;;;;;;;;;;;;;;;;;
ARSITEK PRANCIS DIBIKIN MELONGO!...;2026-01-28;20.15;;;;;;;;;;;;;;;;;;;;;;;
INDIA PAMER SLEEPER BUS BUATAN RI...;2026-01-29;07.15;;;;;;;;;;;;;;;;;;;;;;;
DULU MINTA LEPAS! MIMPI HANCUR...;2026-01-29;10.15;;;;;;;;;;;;;;;;;;;;;;;
MEMANAS! MALAYSIA ANCAM PERANG PRABOWO...;2026-01-29;13.15;;;;;;;;;;;;;;;;;;;;;;;
ARSITEK PRANCIS DIBIKIN... (Shorts);2026-01-29;17.00;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA BINGUNG! GADAIKAN NEGARA...;2026-01-29;18.15;;;;;;;;;;;;;;;;;;;;;;;
TERANCAM GELAP! PRABOWO CABUT LISTRIK...;2026-01-29;20.15;;;;;;;;;;;;;;;;;;;;;;;
PRABOWO MURKA! ANCAM AUSTRALIA...;2026-01-30;07.15;;;;;;;;;;;;;;;;;;;;;;;
ISRAEL TAK TERIMA‼️ PRABOWO KERAHKAN TNI...;2026-01-30;10.15;;;;;;;;;;;;;;;;;;;;;;;
MEMANAS‼️ TNI HADANG KAPAL MALAYSIA...;2026-01-30;13.15;;;;;;;;;;;;;;;;;;;;;;;
BORONG 2 LUSIN JET TEMPUR ITALIA...;2026-01-30;16.15;;;;;;;;;;;;;;;;;;;;;;;
TERANCAM GELAP! PRABOWO CABUT... (Shorts);2026-01-30;17.01;;;;;;;;;;;;;;;;;;;;;;;
JENDERAL OPM TANTANG PRABOWO‼️...;2026-01-30;18.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA NYINYIR! BATAM JADI PRIMADONA...;2026-02-01;07.15;;;;;;;;;;;;;;;;;;;;;;;
PARLEMEN MEMANAS, SABAH & SARAWAK ANCAM LEPAS...;2026-02-01;10.15;;;;;;;;;;;;;;;;;;;;;;;
TURIS MALAYSIA GEMETAR LIHAT JAKARTA DIKIRA DUBAI...;2026-02-01;13.15;;;;;;;;;;;;;;;;;;;;;;;
NGEMIS INGIN GABUNG INDONESIA! INILAH PERBANDINGAN...;2026-02-01;16.15;;;;;;;;;;;;;;;;;;;;;;;
MALAYSIA KLAIM JADI PENYELAMAT WHOOSH... (Shorts);2026-02-01;17.00;;;;;;;;;;;;;;;;;;;;;;;
KAPAL-KAPAL MALAYSIA DITENGGELAMKAN DI AMBALAT!...;2026-02-01;18.15;;;;;;;;;;;;;;;;;;;;;;;
